                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 3.3604,                 3.8939,                 1.7817,                      0,                      0,                      0,                      0,                 6.9552,                 16.562,                 4.1164,              0.0011337,              0.0011337,              0.0011337
                     39,                 3.2256,                 4.4082,                 1.7642,                      0,                      0,                      0,                      0,                 6.9515,                 15.018,                 4.0842,              0.0011538,              0.0011538,              0.0011538
                     40,                 3.3595,                 3.5945,                 1.8675,                      0,                      0,                      0,                      0,                 6.9515,                 15.018,                 4.0842,              0.0011733,              0.0011733,              0.0011733
                     41,                 2.9876,                 3.4333,                 1.7837,                      0,                      0,                      0,                      0,                 6.9314,                 12.674,                 3.9669,              0.0011923,              0.0011923,              0.0011923
                     42,                 2.9423,                  3.307,                 1.7972,                      0,                      0,                      0,                      0,                 6.8707,                 9.8132,                 3.7054,              0.0012108,              0.0012108,              0.0012108
                     43,                 3.5576,                 4.4095,                 1.6147,                      0,                      0,                      0,                      0,                 6.8707,                 9.8132,                 3.7054,              0.0012288,              0.0012288,              0.0012288
                     44,                 3.5427,                  4.027,                 1.5011,                      0,                      0,                      0,                      0,                 6.7863,                 9.1989,                 3.4301,              0.0012462,              0.0012462,              0.0012462
                     45,                 2.9328,                 3.5671,                 1.5922,                      0,                      0,                      0,                      0,                 6.7863,                 9.1989,                 3.4301,              0.0012631,              0.0012631,              0.0012631
                     46,                 2.8791,                 3.6054,                 1.2931,                      0,                      0,                      0,                      0,                 6.7552,                 10.204,                 3.2422,              0.0012795,              0.0012795,              0.0012795
                     47,                 3.3301,                 3.9852,                 1.7557,                      0,                      0,                      0,                      0,                 6.7552,                 10.204,                 3.2422,              0.0012953,              0.0012953,              0.0012953
                     48,                 3.1402,                 3.7665,                 1.6345,                0.00111,                0.33333,                0.00079,                0.00019,                 3.9071,                 9.4192,                 2.7714,              0.0013106,              0.0013106,              0.0013106
                     49,                 3.0904,                 2.8983,                 1.6858,                0.00111,                0.33333,                0.00079,                0.00019,                 3.9071,                 9.4192,                 2.7714,              0.0013254,              0.0013254,              0.0013254
                     50,                 2.8851,                 2.6982,                 1.5916,                0.34946,                0.80743,                 0.4819,                0.09554,                  3.279,                 4.8765,                  2.274,              0.0013397,              0.0013397,              0.0013397
                     51,                 3.0853,                 3.3169,                 1.3325,                0.34946,                0.80743,                 0.4819,                0.09554,                  3.279,                 4.8765,                  2.274,                0.00134,                0.00134,                0.00134
                     52,                  2.516,                 3.0146,                 1.2325,                0.33963,                0.60379,                0.46179,                0.07349,                 3.2763,                 3.9267,                 2.1525,              0.0013268,              0.0013268,              0.0013268
                     53,                 2.6959,                 2.8465,                   1.33,                0.33963,                0.60379,                0.46179,                0.07349,                 3.2763,                 3.9267,                 2.1525,              0.0013136,              0.0013136,              0.0013136
                     54,                 2.5435,                  2.584,                 1.2455,                0.29298,                0.66667,                 0.2464,                0.06877,                 2.8672,                  3.791,                 2.0834,              0.0013004,              0.0013004,              0.0013004
                     55,                 2.6852,                 2.6169,                 1.3133,                0.29298,                0.66667,                 0.2464,                0.06877,                 2.8672,                  3.791,                 2.0834,              0.0012872,              0.0012872,              0.0012872
                     56,                 2.8952,                 2.7058,                 1.2518,                0.18414,                0.33333,                0.16752,                0.04515,                    3.6,                 3.1949,                 2.4833,               0.001274,               0.001274,               0.001274
                     57,                 2.5315,                 2.8829,                 1.2945,                0.18414,                0.33333,                0.16752,                0.04515,                    3.6,                 3.1949,                 2.4833,              0.0012608,              0.0012608,              0.0012608
                     58,                 2.6555,                 2.2916,                 1.2284,                0.74834,                    0.5,                0.49556,                0.07655,                 3.5966,                 3.1185,                 4.5052,              0.0012476,              0.0012476,              0.0012476
                     59,                 2.4724,                 2.5671,                 1.2061,                0.74834,                    0.5,                0.49556,                0.07655,                 3.5966,                 3.1185,                 4.5052,              0.0012344,              0.0012344,              0.0012344
                     60,                  2.451,                 2.4755,                 1.1547,                0.35566,                0.33333,                0.22255,                0.07397,                 3.3242,                 3.7561,                 4.9566,              0.0012212,              0.0012212,              0.0012212
                     61,                 2.7485,                 2.6631,                 1.4168,                0.35566,                0.33333,                0.22255,                0.07397,                 3.3242,                 3.7561,                 4.9566,               0.001208,               0.001208,               0.001208
                     62,                 2.2373,                 2.1848,                 1.1857,                  0.082,                0.66667,                0.06495,                  0.015,                 3.0553,                 5.1898,                 7.5721,              0.0011948,              0.0011948,              0.0011948
                     63,                 3.0554,                 2.6599,                 1.3453,                  0.082,                0.66667,                0.06495,                  0.015,                 3.0553,                 5.1898,                 7.5721,              0.0011816,              0.0011816,              0.0011816
                     64,                 3.0649,                 2.8152,                 1.3885,                0.07049,                0.33333,                0.03923,                0.00808,                  3.113,                 5.0456,                 8.9937,              0.0011684,              0.0011684,              0.0011684
                     65,                 2.7398,                  2.448,                 1.3219,                0.07049,                0.33333,                0.03923,                0.00808,                  3.113,                 5.0456,                 8.9937,              0.0011552,              0.0011552,              0.0011552
                     66,                 2.8234,                 2.7086,                 1.3031,                0.10848,                0.33333,                0.05148,                0.01606,                 3.3131,                 4.5371,                 8.5958,               0.001142,               0.001142,               0.001142
                     67,                 2.4636,                 2.6549,                 1.2257,                0.10848,                0.33333,                0.05148,                0.01606,                 3.3131,                 4.5371,                 8.5958,              0.0011288,              0.0011288,              0.0011288
                     68,                 2.4363,                 2.3671,                 1.4164,                0.11052,                0.33333,                0.09753,                0.03081,                 2.9626,                 3.7288,                 3.4368,              0.0011156,              0.0011156,              0.0011156
                     69,                 2.4431,                 2.2747,                 1.2708,                0.11052,                0.33333,                0.09753,                0.03081,                 2.9626,                 3.7288,                 3.4368,              0.0011024,              0.0011024,              0.0011024
                     70,                  2.475,                 2.4442,                 1.1763,                0.08198,                    0.5,                0.12249,                0.04059,                  2.438,                 4.3199,                 3.4654,              0.0010892,              0.0010892,              0.0010892
                     71,                 2.4001,                 2.5669,                 1.4191,                0.08198,                    0.5,                0.12249,                0.04059,                  2.438,                 4.3199,                 3.4654,               0.001076,               0.001076,               0.001076
                     72,                  2.119,                 2.1217,                 1.1126,                0.07395,                      1,                0.07463,                0.02884,                 2.5786,                 10.614,                 1.7731,              0.0010628,              0.0010628,              0.0010628
                     73,                 2.5268,                 1.9203,                 1.3049,                0.07395,                      1,                0.07463,                0.02884,                 2.5786,                 10.614,                 1.7731,              0.0010496,              0.0010496,              0.0010496
                     74,                 2.5722,                 2.1855,                 1.3859,                 0.0738,                      1,                0.07557,                0.02642,                 2.7175,                 10.126,                 1.7403,              0.0010364,              0.0010364,              0.0010364
                     75,                 2.3858,                  2.036,                  1.241,                 0.0738,                      1,                0.07557,                0.02642,                 2.7175,                 10.126,                 1.7403,              0.0010232,              0.0010232,              0.0010232
                     76,                 2.4745,                 1.8651,                 1.2812,                0.12059,                      1,                0.13884,                0.05559,                 2.4739,                 3.8331,                   1.61,                0.00101,                0.00101,                0.00101
                     77,                 2.2649,                   1.97,                  1.305,                0.12059,                      1,                0.13884,                0.05559,                 2.4739,                 3.8331,                   1.61,              0.0009968,              0.0009968,              0.0009968
                     78,                  2.358,                 2.1241,                 1.3802,                      1,                0.47478,                0.83386,                0.32765,                 2.2096,                  2.525,                 1.4946,              0.0009836,              0.0009836,              0.0009836
                     79,                 3.2228,                 2.4796,                 1.2097,                      1,                0.47478,                0.83386,                0.32765,                 2.2096,                  2.525,                 1.4946,              0.0009704,              0.0009704,              0.0009704
                     80,                 2.9854,                 2.4424,                 1.2147,                      1,                 0.4962,                0.86027,                0.34422,                 2.0723,                 2.3299,                 1.4471,              0.0009572,              0.0009572,              0.0009572
                     81,                 2.2989,                 2.4572,                 1.1871,                      1,                 0.4962,                0.86027,                0.34422,                 2.0723,                 2.3299,                 1.4471,               0.000944,               0.000944,               0.000944
                     82,                 2.7721,                 2.4585,                 1.1831,                0.52005,                0.66667,                  0.795,                0.38883,                  1.842,                 2.3519,                   1.36,              0.0009308,              0.0009308,              0.0009308
                     83,                 2.3276,                 2.1166,                 1.1635,                0.52005,                0.66667,                  0.795,                0.38883,                  1.842,                 2.3519,                   1.36,              0.0009176,              0.0009176,              0.0009176
                     84,                 1.9327,                 1.9681,                 1.1321,                0.30253,                0.65177,                0.33914,                0.18137,                 1.8897,                 2.7167,                 1.4232,              0.0009044,              0.0009044,              0.0009044
                     85,                 2.2881,                 2.0397,                 1.0656,                0.30253,                0.65177,                0.33914,                0.18137,                 1.8897,                 2.7167,                 1.4232,              0.0008912,              0.0008912,              0.0008912
                     86,                 2.0591,                 2.1181,                 1.0671,                      1,                0.48504,                  0.712,                0.34223,                 2.0905,                 2.3706,                 1.5375,               0.000878,               0.000878,               0.000878
                     87,                 2.5977,                 1.9928,                 1.2483,                      1,                0.48504,                  0.712,                0.34223,                 2.0905,                 2.3706,                 1.5375,              0.0008648,              0.0008648,              0.0008648
                     88,                 2.1597,                 1.7239,                0.99063,                0.66041,                0.65103,                0.62361,                0.22656,                 2.2814,                 2.5216,                 1.7044,              0.0008516,              0.0008516,              0.0008516
                     89,                 2.2084,                 1.9096,                 1.1164,                0.66041,                0.65103,                0.62361,                0.22656,                 2.2814,                 2.5216,                 1.7044,              0.0008384,              0.0008384,              0.0008384
                     90,                 2.3894,                 1.7851,                 1.2199,                 0.4963,                      1,                0.65319,                0.19861,                 2.4498,                 2.7536,                 1.7286,              0.0008252,              0.0008252,              0.0008252
                     91,                 2.1392,                 1.8305,                 1.1067,                 0.4963,                      1,                0.65319,                0.19861,                 2.4498,                 2.7536,                 1.7286,               0.000812,               0.000812,               0.000812
                     92,                  2.035,                 1.6771,                 1.0438,                0.52852,                      1,                0.73386,                0.21599,                 2.4321,                 2.6069,                 1.6769,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.9499,                 1.5639,                 1.0407,                0.52852,                      1,                0.73386,                0.21599,                 2.4321,                 2.6069,                 1.6769,              0.0007856,              0.0007856,              0.0007856
                     94,                 2.2386,                 1.6035,                 1.1727,                0.48817,                      1,                  0.745,                0.28689,                 2.2549,                 1.9578,                 1.4712,              0.0007724,              0.0007724,              0.0007724
                     95,                 2.2918,                 1.7921,                 1.0856,                0.48817,                      1,                  0.745,                0.28689,                 2.2549,                 1.9578,                 1.4712,              0.0007592,              0.0007592,              0.0007592
                     96,                 1.7649,                 1.7367,                 1.0111,                0.49361,                      1,                  0.745,                0.29533,                 2.1948,                 2.0459,                 1.4209,               0.000746,               0.000746,               0.000746
                     97,                 1.7767,                 1.6588,                 1.0509,                0.49361,                      1,                  0.745,                0.29533,                 2.1948,                 2.0459,                 1.4209,              0.0007328,              0.0007328,              0.0007328
                     98,                 1.7739,                 1.6172,                 1.0216,                0.47426,                0.83333,                0.75458,                0.27522,                 2.2798,                 2.0157,                 1.4412,              0.0007196,              0.0007196,              0.0007196
                     99,                 2.3512,                 1.6706,                 1.1236,                0.47426,                0.83333,                0.75458,                0.27522,                 2.2798,                 2.0157,                 1.4412,              0.0007064,              0.0007064,              0.0007064
                    100,                 2.2624,                 1.8463,                 1.1717,                0.48181,                      1,                   0.83,                0.37978,                 2.3646,                 1.8607,                 1.4953,              0.0006932,              0.0006932,              0.0006932
                    101,                 2.3692,                 1.8349,                 1.0778,                0.48181,                      1,                   0.83,                0.37978,                 2.3646,                 1.8607,                 1.4953,                0.00068,                0.00068,                0.00068
                    102,                 2.0431,                 1.6571,                 1.1733,                0.87023,                      1,                  0.995,                0.44922,                 2.2192,                 1.6545,                 1.5042,              0.0006668,              0.0006668,              0.0006668
                    103,                 2.1183,                 1.8596,                  1.073,                0.87023,                      1,                  0.995,                0.44922,                 2.2192,                 1.6545,                 1.5042,              0.0006536,              0.0006536,              0.0006536
                    104,                 2.4648,                 2.2257,                 1.0549,                0.96834,                      1,                  0.995,                0.55059,                 1.9914,                 1.5779,                 1.4764,              0.0006404,              0.0006404,              0.0006404
                    105,                 2.4262,                 1.8522,                  1.152,                0.96834,                      1,                  0.995,                0.55059,                 1.9914,                 1.5779,                 1.4764,              0.0006272,              0.0006272,              0.0006272
                    106,                 2.1918,                 1.8455,                 1.1917,                0.99255,                      1,                  0.995,                0.53469,                 1.8627,                 1.4714,                  1.463,               0.000614,               0.000614,               0.000614
                    107,                 2.2215,                 1.5877,                 1.0864,                0.99255,                      1,                  0.995,                0.53469,                 1.8627,                 1.4714,                  1.463,              0.0006008,              0.0006008,              0.0006008
                    108,                 2.1717,                 1.9138,                    1.1,                0.96291,                      1,                  0.995,                0.60121,                 1.6911,                 1.4446,                 1.4162,              0.0005876,              0.0005876,              0.0005876
                    109,                 1.9219,                 1.7226,                 1.0999,                0.96291,                      1,                  0.995,                0.60121,                 1.6911,                 1.4446,                 1.4162,              0.0005744,              0.0005744,              0.0005744
                    110,                 2.1201,                 1.9106,                 1.0901,                 0.9311,                      1,                  0.995,                0.57762,                 1.6616,                   1.41,                 1.3578,              0.0005612,              0.0005612,              0.0005612
                    111,                 1.9722,                 1.6837,                   1.13,                 0.9311,                      1,                  0.995,                0.57762,                 1.6616,                   1.41,                 1.3578,               0.000548,               0.000548,               0.000548
                    112,                 1.8828,                 1.6241,                0.96349,                 0.9391,                      1,                  0.995,                0.49849,                 1.8086,                 1.4076,                 1.3468,              0.0005348,              0.0005348,              0.0005348
                    113,                 2.0621,                 1.6141,                 1.1069,                 0.9391,                      1,                  0.995,                0.49849,                 1.8086,                 1.4076,                 1.3468,              0.0005216,              0.0005216,              0.0005216
                    114,                 2.1132,                 1.5381,                 1.1535,                0.90467,                      1,                  0.995,                0.48621,                 1.8672,                 1.5287,                 1.3372,              0.0005084,              0.0005084,              0.0005084
                    115,                 2.2892,                 1.7382,                 1.2889,                0.90467,                      1,                  0.995,                0.48621,                 1.8672,                 1.5287,                 1.3372,              0.0004952,              0.0004952,              0.0004952
