                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38067,                 115.42,                0.62115,                      0,                      0,                      0,                      0,                 6.9739,                 32.902,                 4.1603,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.5463,                 114.48,                 4.0372,                      0,                      0,                      0,                      0,                 6.9741,                 32.951,                 4.1617,             5.7624e-05,             5.7624e-05,             5.7624e-05
                      3,                 2.5649,                 111.08,                 2.9462,                      0,                      0,                      0,                      0,                 6.9744,                 32.997,                 4.1631,              9.208e-05,              9.208e-05,              9.208e-05
                      4,                  3.045,                 110.74,                  3.254,                      0,                      0,                      0,                      0,                 6.9745,                 33.034,                 4.1646,             0.00012337,             0.00012337,             0.00012337
                      5,                 5.9612,                 69.399,                 5.7123,                      0,                      0,                      0,                      0,                 6.9748,                 33.071,                 4.1663,             0.00015149,             0.00015149,             0.00015149
                      6,                 5.1264,                 76.164,                 5.0046,                      0,                      0,                      0,                      0,                 6.9751,                 33.121,                 4.1685,             0.00017644,             0.00017644,             0.00017644
                      7,                 5.8076,                 54.503,                 4.1078,                      0,                      0,                      0,                      0,                 6.9754,                 33.177,                  4.171,             0.00019822,             0.00019822,             0.00019822
                      8,                 5.4149,                 73.976,                 3.6453,                      0,                      0,                      0,                      0,                 6.9759,                 33.246,                 4.1741,             0.00021684,             0.00021684,             0.00021684
                      9,                  4.592,                 42.308,                 3.8977,                      0,                      0,                      0,                      0,                 6.9761,                 33.274,                 4.1758,             0.00023229,             0.00023229,             0.00023229
                     10,                 5.2737,                 30.266,                 3.6083,                      0,                      0,                      0,                      0,                 6.9766,                 33.355,                 4.1795,             0.00024457,             0.00024457,             0.00024457
                     11,                 4.3037,                 20.446,                 4.0265,                      0,                      0,                      0,                      0,                 6.9771,                 33.417,                 4.1833,             0.00025368,             0.00025368,             0.00025368
                     12,                  4.663,                  22.99,                 4.6378,                      0,                      0,                      0,                      0,                 6.9777,                 33.484,                 4.1874,             0.00025962,             0.00025962,             0.00025962
                     13,                 4.6284,                 39.739,                 2.8971,                      0,                      0,                      0,                      0,                 6.9783,                 33.548,                 4.1916,              0.0002624,              0.0002624,              0.0002624
                     14,                 5.0641,                 31.099,                 3.0038,                      0,                      0,                      0,                      0,                  6.979,                 33.646,                 4.1965,             0.00026201,             0.00026201,             0.00026201
                     15,                 3.9561,                 18.087,                 4.0059,                      0,                      0,                      0,                      0,                 6.9797,                  33.74,                 4.2016,             0.00025845,             0.00025845,             0.00025845
                     16,                 3.8438,                  15.29,                 2.6307,                      0,                      0,                      0,                      0,                 6.9804,                 33.808,                 4.2064,             0.00025172,             0.00025172,             0.00025172
                     17,                 3.7542,                 12.617,                 2.9356,                      0,                      0,                      0,                      0,                 6.9811,                 33.848,                 4.2113,             0.00024182,             0.00024182,             0.00024182
                     18,                 3.5999,                 16.221,                 2.8662,                      0,                      0,                      0,                      0,                 6.9819,                 33.869,                 4.2166,             0.00022876,             0.00022876,             0.00022876
                     19,                 4.1095,                 23.053,                  2.674,                      0,                      0,                      0,                      0,                 6.9826,                 33.844,                 4.2217,             0.00021253,             0.00021253,             0.00021253
                     20,                 4.4449,                 20.863,                 2.8024,                      0,                      0,                      0,                      0,                 6.9833,                 33.799,                 4.2269,             0.00019313,             0.00019313,             0.00019313
                     21,                 3.2142,                  12.92,                 2.1937,                      0,                      0,                      0,                      0,                 6.9841,                 33.753,                 4.2322,             0.00017056,             0.00017056,             0.00017056
                     22,                 3.5096,                 13.504,                 2.2528,                      0,                      0,                      0,                      0,                 6.9849,                 33.693,                 4.2373,             0.00014482,             0.00014482,             0.00014482
                     23,                 2.8211,                 12.631,                 1.8185,                      0,                      0,                      0,                      0,                 6.9856,                 33.655,                 4.2429,             0.00011592,             0.00011592,             0.00011592
                     24,                 3.5095,                 16.607,                  2.609,                      0,                      0,                      0,                      0,                 6.9864,                  33.61,                 4.2481,             8.3848e-05,             8.3848e-05,             8.3848e-05
                     25,                 3.3046,                 14.909,                 2.0742,                      0,                      0,                      0,                      0,                 6.9871,                 33.545,                  4.253,             4.8608e-05,             4.8608e-05,             4.8608e-05
