                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 3.0284,                 5.3729,                 1.7567,                      0,                      0,                      0,                      0,                 6.9679,                  16.16,                 4.2447,              0.0011337,              0.0011337,              0.0011337
                     39,                 3.1686,                 5.4323,                 1.7206,                      0,                      0,                      0,                      0,                 6.9649,                  15.12,                 4.2299,              0.0011538,              0.0011538,              0.0011538
                     40,                  2.927,                 4.5673,                 1.4974,                      0,                      0,                      0,                      0,                 6.9649,                  15.12,                 4.2299,              0.0011733,              0.0011733,              0.0011733
                     41,                 2.8653,                 4.8917,                 1.4975,                      0,                      0,                      0,                      0,                 6.9618,                 13.631,                 4.2135,              0.0011923,              0.0011923,              0.0011923
                     42,                 2.5238,                 4.4391,                  1.501,                      0,                      0,                      0,                      0,                 6.9603,                 13.888,                 4.2022,              0.0012108,              0.0012108,              0.0012108
                     43,                 3.0446,                 5.0016,                 1.7243,                      0,                      0,                      0,                      0,                 6.9603,                 13.888,                 4.2022,              0.0012288,              0.0012288,              0.0012288
                     44,                 3.0274,                 4.8982,                 1.5085,                      0,                      0,                      0,                      0,                 6.9589,                 15.034,                 4.1977,              0.0012462,              0.0012462,              0.0012462
                     45,                 2.8788,                 4.2976,                 1.5921,                      0,                      0,                      0,                      0,                 6.9589,                 15.034,                 4.1977,              0.0012631,              0.0012631,              0.0012631
                     46,                 2.6896,                 4.3692,                 1.2986,                      0,                      0,                      0,                      0,                  6.962,                 16.724,                 4.2026,              0.0012795,              0.0012795,              0.0012795
                     47,                 2.7409,                 5.3492,                 1.5756,                      0,                      0,                      0,                      0,                  6.962,                 16.724,                 4.2026,              0.0012953,              0.0012953,              0.0012953
                     48,                 2.8453,                 4.4624,                 1.7505,                      0,                      0,                      0,                      0,                 6.9647,                 17.784,                 4.2031,              0.0013106,              0.0013106,              0.0013106
                     49,                 2.8274,                 3.7175,                 1.4905,                      0,                      0,                      0,                      0,                 6.9647,                 17.784,                 4.2031,              0.0013254,              0.0013254,              0.0013254
                     50,                 2.6492,                 3.8954,                 1.3953,                      0,                      0,                      0,                      0,                 6.9247,                 19.505,                 3.9918,              0.0013397,              0.0013397,              0.0013397
                     51,                  2.728,                 4.2901,                 1.3238,                      0,                      0,                      0,                      0,                 6.9247,                 19.505,                 3.9918,                0.00134,                0.00134,                0.00134
                     52,                 2.3182,                 4.0908,                 1.2995,                      0,                      0,                      0,                      0,                 5.1538,                 13.831,                 3.1634,              0.0013268,              0.0013268,              0.0013268
                     53,                 3.0935,                 4.0574,                 1.5378,                      0,                      0,                      0,                      0,                 5.1538,                 13.831,                 3.1634,              0.0013136,              0.0013136,              0.0013136
                     54,                 2.5642,                 3.4026,                 1.3525,                0.00222,                0.66667,                0.25955,                0.06221,                  2.606,                 7.0762,                 2.1786,              0.0013004,              0.0013004,              0.0013004
                     55,                 2.6764,                 3.7413,                 1.3118,                0.00222,                0.66667,                0.25955,                0.06221,                  2.606,                 7.0762,                 2.1786,              0.0012872,              0.0012872,              0.0012872
                     56,                 3.0289,                 4.2415,                 1.3545,                0.00333,                      1,                0.54022,                0.14245,                 2.2645,                 5.1266,                 1.9021,               0.001274,               0.001274,               0.001274
                     57,                 2.6755,                 4.1921,                 1.3483,                0.00333,                      1,                0.54022,                0.14245,                 2.2645,                 5.1266,                 1.9021,              0.0012608,              0.0012608,              0.0012608
                     58,                 2.7307,                 3.5147,                 1.2357,                0.27875,                 0.2651,                0.45151,                 0.1659,                 2.2433,                 4.5762,                 1.8262,              0.0012476,              0.0012476,              0.0012476
                     59,                  2.424,                  3.436,                 1.2289,                0.27875,                 0.2651,                0.45151,                 0.1659,                 2.2433,                 4.5762,                 1.8262,              0.0012344,              0.0012344,              0.0012344
                     60,                 2.3482,                   3.41,                 1.1953,                0.68824,                0.37647,                0.62958,                0.24014,                 2.4517,                 4.3261,                 1.9881,              0.0012212,              0.0012212,              0.0012212
                     61,                  2.506,                 3.1794,                 1.4451,                0.68824,                0.37647,                0.62958,                0.24014,                 2.4517,                 4.3261,                 1.9881,               0.001208,               0.001208,               0.001208
                     62,                 2.3648,                 3.0572,                 1.2662,                0.28078,                0.16667,                0.31927,                0.09709,                 2.2625,                 4.6177,                 2.2934,              0.0011948,              0.0011948,              0.0011948
                     63,                 2.1836,                 2.9548,                 1.2289,                0.28078,                0.16667,                0.31927,                0.09709,                 2.2625,                 4.6177,                 2.2934,              0.0011816,              0.0011816,              0.0011816
                     64,                 2.5046,                 3.2379,                 1.2946,                0.00333,                      1,                0.03537,                0.01661,                 2.2298,                  4.878,                 2.4021,              0.0011684,              0.0011684,              0.0011684
                     65,                  2.371,                 3.0199,                 1.1839,                0.00333,                      1,                0.03537,                0.01661,                 2.2298,                  4.878,                 2.4021,              0.0011552,              0.0011552,              0.0011552
                     66,                 2.6828,                 3.4952,                 1.2671,                0.00333,                      1,                0.02166,                0.00979,                 2.3317,                 8.0936,                  2.514,               0.001142,               0.001142,               0.001142
                     67,                 2.1692,                 3.3022,                  1.189,                0.00333,                      1,                0.02166,                0.00979,                 2.3317,                 8.0936,                  2.514,              0.0011288,              0.0011288,              0.0011288
                     68,                 2.3454,                 3.1844,                 1.2963,                0.00333,                      1,                0.47141,                0.22117,                 2.5254,                 4.3236,                 2.4931,              0.0011156,              0.0011156,              0.0011156
                     69,                 2.4307,                 2.7586,                 1.2178,                0.00333,                      1,                0.47141,                0.22117,                 2.5254,                 4.3236,                 2.4931,              0.0011024,              0.0011024,              0.0011024
                     70,                 2.4649,                 2.8544,                 1.1168,                0.00333,                      1,                 0.8591,                0.43226,                 2.4023,                 3.8099,                 2.2024,              0.0010892,              0.0010892,              0.0010892
                     71,                 2.3548,                 3.3155,                 1.3152,                0.00333,                      1,                 0.8591,                0.43226,                 2.4023,                 3.8099,                 2.2024,               0.001076,               0.001076,               0.001076
                     72,                 2.1045,                 2.9635,                 1.0879,                0.08214,                      1,                0.97214,                0.46744,                 2.1592,                 3.4656,                  1.906,              0.0010628,              0.0010628,              0.0010628
                     73,                 2.1532,                  2.456,                 1.1213,                0.08214,                      1,                0.97214,                0.46744,                 2.1592,                 3.4656,                  1.906,              0.0010496,              0.0010496,              0.0010496
                     74,                 1.9743,                 2.4942,                 1.1017,                0.18001,                      1,                  0.995,                 0.4538,                 2.1803,                 3.3677,                 1.8221,              0.0010364,              0.0010364,              0.0010364
                     75,                 2.2875,                 2.6547,                 1.1709,                0.18001,                      1,                  0.995,                 0.4538,                 2.1803,                 3.3677,                 1.8221,              0.0010232,              0.0010232,              0.0010232
                     76,                 2.3874,                  2.458,                 1.2133,                0.89121,                      1,                  0.995,                0.42314,                 2.1054,                 3.1593,                 1.7784,                0.00101,                0.00101,                0.00101
                     77,                   2.12,                 2.4222,                 1.2625,                0.89121,                      1,                  0.995,                0.42314,                 2.1054,                 3.1593,                 1.7784,              0.0009968,              0.0009968,              0.0009968
                     78,                 2.1572,                 2.3754,                 1.3323,                0.94842,                0.83333,                0.94167,                0.44704,                 1.9461,                 3.0572,                 1.5972,              0.0009836,              0.0009836,              0.0009836
                     79,                 1.9194,                 2.4362,                 1.0349,                0.94842,                0.83333,                0.94167,                0.44704,                 1.9461,                 3.0572,                 1.5972,              0.0009704,              0.0009704,              0.0009704
                     80,                 2.0818,                 2.2661,                 1.0685,                0.92971,                0.83333,                0.94167,                0.50497,                 1.6115,                 2.8935,                 1.4087,              0.0009572,              0.0009572,              0.0009572
                     81,                 2.0848,                 2.4456,                 1.1287,                0.92971,                0.83333,                0.94167,                0.50497,                 1.6115,                 2.8935,                 1.4087,               0.000944,               0.000944,               0.000944
                     82,                 2.0007,                 2.5213,                 1.0525,                0.79092,                0.83333,                  0.955,                0.52068,                 1.7508,                 2.5978,                 1.3527,              0.0009308,              0.0009308,              0.0009308
                     83,                 2.0202,                 2.3526,                 1.1427,                0.79092,                0.83333,                  0.955,                0.52068,                 1.7508,                 2.5978,                 1.3527,              0.0009176,              0.0009176,              0.0009176
                     84,                 2.0725,                 2.3403,                 1.1831,                0.91458,                      1,                  0.995,                0.52947,                 1.7759,                 2.5229,                 1.3531,              0.0009044,              0.0009044,              0.0009044
                     85,                 2.1393,                 2.4785,                 1.0917,                0.91458,                      1,                  0.995,                0.52947,                 1.7759,                 2.5229,                 1.3531,              0.0008912,              0.0008912,              0.0008912
