                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38067,                 115.42,                0.62115,                      0,                      0,                      0,                      0,                 6.9739,                 32.902,                 4.1603,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.5638,                 114.48,                  4.066,                      0,                      0,                      0,                      0,                 6.9741,                 32.951,                 4.1616,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 2.5686,                 111.04,                 2.9326,                      0,                      0,                      0,                      0,                 6.9743,                 32.996,                 4.1631,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 2.9969,                 110.68,                  3.307,                      0,                      0,                      0,                      0,                 6.9745,                  33.03,                 4.1646,             0.00013584,             0.00013584,             0.00013584
                      5,                 5.4641,                 71.423,                 5.3904,                      0,                      0,                      0,                      0,                 6.9748,                 33.066,                 4.1663,             0.00017287,             0.00017287,             0.00017287
                      6,                 5.4481,                 70.097,                 4.9304,                      0,                      0,                      0,                      0,                 6.9751,                 33.111,                 4.1687,             0.00020911,             0.00020911,             0.00020911
                      7,                 5.5935,                 48.726,                 4.1494,                      0,                      0,                      0,                      0,                 6.9754,                  33.16,                 4.1713,             0.00024456,             0.00024456,             0.00024456
                      8,                 5.9944,                 61.087,                 3.8432,                      0,                      0,                      0,                      0,                 6.9759,                  33.21,                 4.1749,             0.00027921,             0.00027921,             0.00027921
                      9,                 4.7993,                 41.326,                 3.7215,                      0,                      0,                      0,                      0,                 6.9761,                  33.23,                 4.1769,             0.00031307,             0.00031307,             0.00031307
                     10,                  4.834,                 29.856,                 3.4533,                      0,                      0,                      0,                      0,                 6.9767,                 33.298,                  4.181,             0.00034614,             0.00034614,             0.00034614
                     11,                 4.6855,                  20.01,                 4.3462,                      0,                      0,                      0,                      0,                 6.9774,                 33.346,                 4.1856,             0.00037842,             0.00037842,             0.00037842
                     12,                 4.7829,                 24.948,                 3.9057,                      0,                      0,                      0,                      0,                 6.9781,                 33.403,                 4.1907,             0.00040991,             0.00040991,             0.00040991
                     13,                 4.5761,                 31.463,                 2.8343,                      0,                      0,                      0,                      0,                 6.9789,                 33.453,                 4.1962,              0.0004406,              0.0004406,              0.0004406
                     14,                 3.8158,                 19.341,                 2.8496,                      0,                      0,                      0,                      0,                 6.9798,                 33.535,                 4.2029,              0.0004705,              0.0004705,              0.0004705
                     15,                 4.4135,                 17.472,                 3.2101,                      0,                      0,                      0,                      0,                 6.9809,                 33.583,                 4.2101,             0.00049961,             0.00049961,             0.00049961
